Processor Manufacturer,Processor Series,Processor Model,RAM Type,RAM Memory,Internal Memory Type SSD,Internal Memory Type HDD,Graphics Card Manufacturer,Dedicated Graphics Memory,Graphics Card Model,manufacturer,org_price,store,Screen Resolution,Screen Type,Screen Size
AMD,Ryzen3,7320U,DDR4,4,0,0,AMD,4,RadeonGraphics,lenovo,13830000,digikala,,OLED,
AMD,Ryzen7,5700U,LPDDR4X,8,0,0,Nvidia,4,GeForceMX450,asus,37500000,digikala,,OLED,
Intel,Corei7,1065 G7,DDR4,16,512,0,Nvidia,2,NVIDIA Geforce MX330,asus,30683000,meghdad,1080 * 1920 ,OLED,15.6
AMD,Ryzen5,3500U,DDR4,8,0,0,AMD,4,RadeonVEGA8,acer,24100000,digikala,,OLED,
Intel,Corei3,I3 1115G4,DDR4,8,128,1024,Nvidia,2,MX450,lenovo,21550000,meghdad,1080 * 1920 ,OLED,15.6
Intel,Corei3,N305,LPDDR5,4,0,0,Intel,4,UHD,acer,14800000,digikala,,OLED,
Intel,Corei7,1165G7,DDR4,8,256,1024,Nvidia,2,NVIDIA Geforce MX450,lenovo,29710000,meghdad,1080 * 1920 ,OLED,15.6
Intel,Corei3,I3 1115G4,DDR4,12,512,1024,Intel,4,Intel UHD Graphics,lenovo,18670000,meghdad,1080 * 1920 ,OLED,15.6
Intel,Corei7,1355U,DDR4,12,1024,0,Intel,4,Intel Iris Xe Graphics,asus,32364000,meghdad,1080 * 1920 ,OLED,15.6
AMD,Ryzen5,4680U,DDR4,16,0,0,AMD,4,RadeonGraphics,microsoft,52900000,digikala,,OLED,
AMD,Ryzen5,7520U,DDR5,8,0,0,AMD,4,Radeon,acer,23688000,digikala,,OLED,
Intel,Corei5,1335U,DDR4,16,512,0,Intel,4,Intel Iris Graphics,asus,28764000,meghdad,1080 * 1920 ,OLED,15.6
Intel,Corei3,I3 1115G4,DDR4,12,128,1024,Nvidia,2,MX450,lenovo,22100000,meghdad,1080 * 1920 ,OLED,15.6
Intel,Corei7,12700H,DDR4,24,0,0,Intel,4,IrisXe,asus,47900000,digikala,,OLED,
Intel,Corei3,I3 1115G4,DDR4,8,0,1024,Nvidia,2,MX450,lenovo,21130000,meghdad,1080 * 1920 ,OLED,15.6
Intel,Corei3,N305,LPDDR5,4,0,0,Intel,4,UHD,acer,15300000,digikala,,OLED,
Intel,Corei5,11400H,DDR4,8,0,0,Nvidia,4,GeForceRTX3050,dell,49900000,digikala,,OLED,
Intel,Corei5,1135G7,DDR4,8,0,0,Intel,4,IrisXe,dell,32499000,digikala,,OLED,
Intel,Corei5,1135G7,DDR4,8,0,0,Intel,4,IrisXe,dell,32499000,digikala,,OLED,
Intel,Corei7,1255U,DDR4,8,0,0,Nvidia,4,GeForceMX550,dell,37900000,digikala,,OLED,
Intel,Corei3,I3 1115G4,DDR4,12,0,1024,Nvidia,2,MX450,lenovo,21550000,meghdad,1080 * 1920 ,OLED,15.6
Intel,Corei7,1255U,DDR4,12,0,0,Nvidia,4,GeForceMX570,dell,71999000,digikala,,OLED,
Intel,Corei7,11370H,DDR4,32,256,1024,Nvidia,4,GTX 1650,lenovo,44800000,meghdad,1080 * 1920 ,OLED,15.6
Intel,Corei7,12700H,DDR4,24,0,0,Intel,4,IrisXe,asus,47900000,digikala,,OLED,
Intel,Corei5,1135G7,DDR4,8,0,0,Nvidia,4,GeForceMX350,dell,31900000,digikala,,OLED,
Intel,Corei7,1250U,DDR5,16,0,0,Intel,4,IrisXe,dell,94999000,digikala,,OLED,
Intel,Corei5,1235U,DDR4,8,512,0,Intel,4,Iris Xe Graphics,hp,47550000,meghdad,1080 * 1920 ,OLED,14
Intel,Corei7,1255U,DDR4,16,0,0,Nvidia,4,GeForceMX550,dell,38900000,digikala,,OLED,
Intel,Corei5,1155G7,DDR4,8,512,1024,Nvidia,2,NVIDIA Geforce MX350,lenovo,26830000,meghdad,1080 * 1920 ,OLED,15.6
Intel,Corei7,1165G7,DDR4,12,512,1024,Nvidia,2,NVIDIA Geforce MX450,lenovo,30700000,meghdad,1080 * 1920 ,OLED,15.6
Intel,Corei7,1165G7,DDR4,12,512,0,Nvidia,2,NVIDIA Geforce MX450,lenovo,29210000,meghdad,1080 * 1920 ,OLED,15.6
Intel,Corei3,1215U,DDR4,12,1024,0,Intel,4,UHD,asus,20499000,meghdad,1080 * 1920 ,OLED,15.6
Intel,Corei3,1215U,DDR4,8,256,0,Intel,4,Intel HD Graphics,asus,17349000,meghdad,1080 * 1920 ,OLED,15.6
AMD,Ryzen5,7520U,DDR5,8,0,0,AMD,4,Radeon,acer,25183200,digikala,,OLED,
Intel,Corei9,12900H,DDR5,32,0,0,Nvidia,4,GeForceRTX3080Ti,asus,165900000,digikala,,OLED,
Intel,Corei5,1135G7,DDR4,16,0,0,Nvidia,4,GeForceMX330GDDR5,asus,27400000,digikala,,OLED,
Intel,Corei5,1035G1,DDR4,4,0,0,Intel,4,UHDGraphics,microsoft,22590000,digikala,,OLED,
Intel,Corei3,1215U,DDR4,8,0,0,Intel,4,UHDGraphics,asus,18900000,digikala,,OLED,
Intel,Corei5,1235U,DDR4,8,1024,0,Intel,4,Iris Xe Graphics,hp,48750000,meghdad,1080 * 1920 ,OLED,14
Intel,Corei7,12700H,DDR5,16,0,0,Nvidia,4,GEFORCERTX3060,asus,72650000,digikala,,OLED,
Intel,Corei5,1335U,DDR4,16,1024,0,Intel,4,Intel Iris Xe Graphics,asus,29674000,meghdad,1080 * 1920 ,OLED,15.6
Intel,Corei3,I3 1115G4,DDR4,8,512,1024,Nvidia,2,MX450,lenovo,22650000,meghdad,1080 * 1920 ,OLED,15.6
Intel,Corei7,1165G7,DDR4,8,512,0,Nvidia,2,NVIDIA Geforce MX450,lenovo,28650000,meghdad,1080 * 1920 ,OLED,15.6
Intel,Corei7,12700H,DDR4,40,0,0,Intel,4,IrisXe,asus,42840000,digikala,,OLED,
Intel,Corei7,12700H,DDR4,16,0,0,Intel,4,IrisXe,asus,41400000,digikala,,OLED,
Intel,Corei7,1165G7,DDR4,8,512,0,Nvidia,2,NVIDIA Geforce MX450,lenovo,31690000,meghdad,1080 * 1920 ,OLED,15.6
Intel,Corei5,1235U,DDR4,8,1024,0,Intel,4,Iris Xe Graphics,hp,48700000,meghdad,1080 * 1920 ,OLED,15.6
Intel,Corei3,1115G4,DDR4,12,0,0,Intel,4,UHDGraphics,acer,17799000,digikala,,OLED,
Intel,Corei5,1135G7,DDR4,8,0,0,Nvidia,4,GeForceMX350,dell,31900000,digikala,,OLED,
Intel,Corei3,I3 1115G4,DDR4,12,512,0,Intel,4,Intel UHD Graphics,lenovo,17130000,meghdad,1080 * 1920 ,OLED,15.6
Intel,Corei7,1165G7,DDR4,16,512,0,Nvidia,2,NVIDIA Geforce MX450,lenovo,33190000,meghdad,1080 * 1920 ,OLED,15.6
Intel,Corei7,12700H,DDR4,40,0,0,Intel,4,IrisXe,asus,42840000,digikala,,OLED,
Intel,Corei3,1115G4,DDR4,4,0,0,Intel,4,UHD,asus,15600000,digikala,,OLED,
Intel,Corei3,I3 1115G4,DDR4,12,512,0,Nvidia,2,MX450,lenovo,21550000,meghdad,1080 * 1920 ,OLED,15.6
Intel,Corei3,1215U,DDR4,8,0,0,Intel,4,UHDGraphics,asus,21880000,digikala,,OLED,
Intel,Corei5,1135G7,DDR4,12,0,0,Nvidia,4,GeForceMX330,asus,28590000,digikala,,OLED,
Intel,Corei5,1135G7,DDR4,8,0,0,Nvidia,4,GeForceMX350,dell,31900000,digikala,,OLED,
Intel,Corei3,1215U,DDR4,4,0,0,Intel,4,UHD,asus,18700000,digikala,,OLED,
Intel,Corei5,1235U,LPDDR5X,16,0,0,Intel,4,IrisXe,microsoft,64490000,digikala,,PixelSense,
Intel,Corei7,1065G7,DDR4,32,0,0,Nvidia,4,NvidiaGeForceGTX1650Max-QDDR5,microsoft,79990000,digikala,,PixelSense,
Intel,Corei7,11370H,DDR4,32,0,0,Nvidia,4,GeForceRTXA2000,microsoft,143910000,digikala,,PixelSense,
Intel,Corei5,1235U,LPDDR5X,16,0,0,Intel,4,IrisXe,microsoft,64490000,digikala,,PixelSense,
Intel,Corei7,1185G7,LPDDR4X,32,0,0,Intel,4,IrisXe,microsoft,88700000,digikala,,PixelSense,
Intel,Corei5,1035G1,LPDDR4X,8,0,0,Intel,4,UHDGraphics,microsoft,27990000,digikala,,PixelSense,
Intel,Corei5,1035G7,DDR4,8,0,0,Nvidia,4,IrisPlus,microsoft,41990000,digikala,,PixelSense,
Intel,Corei7,1255U,LPDDR5X,16,0,0,Intel,4,IntelIrisXe,microsoft,76500000,digikala,,PixelSense,
Intel,Corei5,1035G7,DDR4,16,256,0,Intel,4,Intel Iris Plus Graphics,microsoft,47380000,meghdad,2256 * 1504,PixelSense,13.5
Intel,Corei7,1065G7,LPDDR4X,16,0,0,Nvidia,4,GeForceGTX1660Ti,microsoft,61691000,digikala,,PixelSense,
AMD,Ryzen5,4680U,LPDDR4X,8,0,0,AMD,4,RadeonGraphics,microsoft,37754000,digikala,,PixelSense,
Intel,Corei5,1235U,LPDDR5X,16,0,0,Intel,4,IrisXe,microsoft,69900000,digikala,,PixelSense,
Intel,Corei7,1255U,LPDDR5X,8,0,0,Intel,4,IrisXe,microsoft,65900000,digikala,,PixelSense,
Intel,Corei7,1185G7,LPDDR4X,32,0,0,Intel,4,IrisXe,microsoft,88700000,digikala,,PixelSense,
Intel,Corei5,1235U,LPDDR5X,8,0,0,Intel,4,IrisXe,microsoft,59400000,digikala,,PixelSense,
Intel,Corei7,1185G7,LPDDR4X,32,0,0,Intel,4,IrisXe,microsoft,89990000,digikala,,PixelSense,
Intel,Corei7,1255U,LPDDR5X,16,0,0,Intel,4,IrisXe,microsoft,75190000,digikala,,PixelSense,
Intel,Corei7,1065G7,DDR4,16,0,0,Nvidia,4,NvidiaGeForceGTX1650Max-QDDR5,microsoft,54900000,digikala,,PixelSense,
Intel,Corei5,1035G1,LPDDR4X,8,0,0,Intel,4,UHDGraphics,microsoft,29990000,digikala,,PixelSense,
Intel,Corei7,Quad core 10th 1065G7,DDR4,16,0,0,Intel,4,IntelIrisPlusGraphics,microsoft,56500000,digikala,,PixelSense,
AMD,Ryzen7,4980U,LPDDR4X,8,0,0,AMD,4,RadeonGraphics,microsoft,52900000,digikala,,PixelSense,
Intel,Corei7,11370H,DDR4,16,0,0,Nvidia,4,GeForceRTX3050Ti,microsoft,99900000,digikala,,PixelSense,
AMD,Ryzen7,3780U,DDR4,16,0,0,AMD,4,RXVega11GraphicsMicrosoftSurfaceEdition,microsoft,63000000,digikala,,PixelSense,
Intel,Corei7,1185G7,LPDDR4X,8,0,0,Intel,4,IrisXe,microsoft,57500000,digikala,,PixelSense,
Intel,Corei7,11370H,DDR4,16,0,0,Nvidia,4,GeForceRTX3050Ti,microsoft,99900000,digikala,,PixelSense,
Intel,Corei5,1235U,DDR5,16,512,0,Intel,4, Intel® Iris® Xe,microsoft,63300000,meghdad,2256 * 1504,PixelSense,13.5
Intel,Corei7,1185G7,DDR4,32,1024,0,Intel,4, Intel® Iris® Xe,microsoft,82500000,meghdad,2256 * 1504,PixelSense,13.5
Intel,Corei7,1255U,DDR5,8,512,0,Intel,4, Intel® Iris® Xe,microsoft,63380000,meghdad,,PixelSense,15
Intel,Corei7,1255U,DDR5,16,512,0,Intel,4, Intel® Iris® Xe,microsoft,77388000,meghdad,,PixelSense,15
Intel,Corei5,1035 G1,DDR4,8,128,0,Intel,4,Intel® UHD Graphics,microsoft,25000000,meghdad,,PixelSense,12.5
Intel,Corei7,1065 G7,DDR4,32,1024,0,Intel,4,Intel Iris Plus Graphics,microsoft,72600000,meghdad,2256 * 1504,PixelSense,15
Intel,Corei7,1185G7,DDR4,16,256,0,Intel,4, Intel® Iris® Xe,microsoft,56888000,meghdad,2256 * 1504,PixelSense,13.5
Intel,Corei5,1135G7,DDR4,16,256,0,Intel,4,Intel® Iris® Xe Graphics,microsoft,37288000,meghdad,,PixelSense,12.5
Intel,Corei5,1135G7,DDR4,8,512,0,Intel,4, Intel® Iris® Xe,microsoft,49300000,meghdad,2256 * 1504,PixelSense,13.5
Intel,Corei7,8650U,DDR3,16,512,0,Nvidia,2,GeForce® GTX 1050 GDDR5,microsoft,55812000,meghdad,2000 * 3000,PixelSense,13.5
Intel,Corei5,1135G7,DDR4,4,128,0,Intel,4,Intel® Iris® Xe Graphics,microsoft,30310000,meghdad,,PixelSense,12.5
Intel,Corei7,11370H,DDR4,32,2048,0,Nvidia,4, RTX™ A2000,microsoft,139000000,meghdad,1600 * 2560,PixelSense,14.4
Intel,Corei7,8650U,DDR3,16,512,0,Nvidia,6,GTX 1060 GDDR5,microsoft,66800000,meghdad,2160 * 3840,PixelSense,15
Intel,Corei7,11370H,DDR4,32,1024,0,Nvidia,4,NVIDIA® GeForce RTX™3050 Ti  laptop GPU with 4GB GDDR6,microsoft,120000000,meghdad,1600 * 2560,PixelSense,14.4
Intel,Corei5,1235U,DDR5,8,512,0,Intel,4, Intel® Iris® Xe,microsoft,54380000,meghdad,2256 * 1504,PixelSense,13.5
Intel,Corei7,11370H,DDR4,16,512,0,Nvidia,4,NVIDIA® GeForce RTX™3050 Ti  laptop GPU with 4GB GDDR6,microsoft,93383000,meghdad,1600 * 2560,PixelSense,14.4
Intel,Corei7,1185G7,DDR4,16,256,0,Intel,4, Intel® Iris® Xe,microsoft,57888000,meghdad,,PixelSense,15
Intel,Corei7,1185G7,DDR4,8,512,0,Intel,4, Intel® Iris® Xe,microsoft,54288000,meghdad,,PixelSense,15
Intel,Corei5,1035G7,DDR4,8,256,0,Intel,4,Intel® Iris™ Plus Graphics,microsoft,45000000,meghdad,2000 * 3000,PixelSense,13.5
Intel,Corei5,11300H,DDR4,16,512,0,Intel,4, Intel® Iris® Xe,microsoft,70230000,meghdad,1600 * 2560,PixelSense,14.4
Intel,Corei7,1255U,DDR5,16,512,0,Intel,4, Intel® Iris® Xe,microsoft,71500000,meghdad,2256 * 1504,PixelSense,13.5
Intel,Corei7,1065 G7,DDR4,16,256,0,Intel,4,Intel Iris Plus Graphics,microsoft,50300000,meghdad,2256 * 1504,PixelSense,15
Intel,Corei7,1065 G7,DDR4,32,512,0,Nvidia,6,GTX 1660 Ti,microsoft,88300000,meghdad,2160 * 3840,PixelSense,15
AMD,Ryzen7,4980U,DDR4,16,512,0,AMD,4,powered by AMD Ryzen™ Microsoft Surface® Edition: AMD Radeon™ Graphics,microsoft,58900000,meghdad,,PixelSense,15
Intel,Corei7,11370H,DDR4,32,2048,0,Nvidia,4,NVIDIA® GeForce RTX™3050 Ti  laptop GPU with 4GB GDDR6,microsoft,134000000,meghdad,1600 * 2560,PixelSense,14.4
Intel,Corei7,1255U,DDR5,8,256,0,Intel,4, Intel® Iris® Xe,microsoft,59388000,meghdad,,PixelSense,15
Intel,Corei5,1035 G1,DDR4,8,256,0,Intel,4,Intel® UHD Graphics,microsoft,29380000,meghdad,,PixelSense,12.5
Intel,Corei5,1035G7,DDR4,8,128,0,Intel,4,Intel Iris Plus Graphics,microsoft,36288000,meghdad,2256 * 1504,PixelSense,13.5
Intel,Corei5,1035 G1,DDR4,16,256,0,Intel,4,Intel® UHD Graphics,microsoft,32500000,meghdad,,PixelSense,12.5
Intel,Corei7,1065 G7,DDR4,16,512,0,Intel,4,Intel Iris Plus Graphics,microsoft,57350000,meghdad,2256 * 1504,PixelSense,13.5
Intel,Corei7,1065 G7,DDR4,32,1024,0,Nvidia,4,GTX 1650 with Max-Q Design,microsoft,87380000,meghdad,2000 * 3000,PixelSense,13.5
Intel,Corei7,1065 G7,DDR4,16,512,0,Intel,4,Intel Iris Plus Graphics,microsoft,56300000,meghdad,2256 * 1504,PixelSense,15
Intel,Corei5,1235U,DDR5,8,256,0,Intel,4, Intel® Iris® Xe,microsoft,45833000,meghdad,2256 * 1504,PixelSense,13.5
Intel,Corei5,1035G7,DDR4,8,128,0,Intel,4,Intel Iris Plus Graphics,microsoft,39330000,meghdad,1440 * 2304,PixelSense,15
Intel,Corei7,1065 G7,DDR4,16,256,0,Nvidia,4,GTX 1650 with Max-Q Design,microsoft,60500000,meghdad,2000 * 3000,PixelSense,13.5
Intel,Corei5,1035G7,DDR4,8,256,0,Intel,4,Intel Iris Plus Graphics,microsoft,40000000,meghdad,2256 * 1504,PixelSense,13.5
AMD,Ryzen7,4980U,DDR4,16,512,0,AMD,4,powered by AMD Ryzen™ Microsoft Surface® Edition: AMD Radeon™ Graphics,microsoft,56888000,meghdad,2256 * 1504,PixelSense,13.5
AMD,Ryzen7,4980U,DDR4,8,256,0,AMD,4,powered by AMD Ryzen™ Microsoft Surface® Edition: AMD Radeon™ Graphics,microsoft,46330000,meghdad,,PixelSense,15
Intel,Corei7,8650U,DDR3,8,256,0,Nvidia,2,GeForce® GTX 1050 GDDR5,microsoft,49388000,meghdad,2000 * 3000,PixelSense,13.5
Intel,Corei7,1255U,DDR5,32,1024,0,Intel,4, Intel® Iris® Xe,microsoft,117000000,meghdad,,PixelSense,15
Intel,Corei3,1115G4,DDR4,12,0,0,Intel,4,UHDGraphics,asus,18060000,digikala,,TN,
Intel,Corei3,1115G4,DDR4,8,0,0,Intel,4,UHDGraphics,dell,17600000,digikala,,TN,
Intel,Celeron,N4120,DDR4,4,0,0,Intel,4,UHDGraphics600,hp,15575000,digikala,,TN,
AMD,Ryzen3,7320U,LPDDR5,8,0,0,AMD,4,Radeon610M,lenovo,15600000,digikala,,TN,
AMD,ATHLON,Silver 3050e,DDR4,4,0,0,AMD,4,RadeonGraphics,lenovo,12620000,digikala,,TN,
Intel,Corei3,1115G4,DDR4,8,0,0,Intel,4,UHDGraphics,lenovo,17600000,digikala,,TN,
Intel,Corei3,1115G4,DDR4,4,0,0,Intel,4,UHDGraphics,lenovo,14990000,digikala,,TN,
Intel,Corei3,I3 1115G4,DDR4,36,128,1024,Intel,4,Intel UHD Graphics,lenovo,20190000,meghdad,1080 * 1920 ,TN,15.6
Intel,Corei7,1165G7,DDR4,16,0,0,Nvidia,4,GeForceMX450,lenovo,35900000,digikala,,TN,
Intel,Corei3,1215U,DDR4,8,0,0,Intel,4,UHD,lenovo,16750000,digikala,,TN,
Intel,Corei3,I3 1115G4,DDR4,36,256,1024,Intel,4,Intel UHD Graphics,lenovo,20450000,meghdad,1080 * 1920 ,TN,15.6
AMD,ATHLON,Silver 7120U,LPDDR5,8,0,0,AMD,4,Radeon610M,lenovo,14300000,digikala,,TN,
Intel,Pentium,N5030,DDR4,4,0,0,Intel,4,IntelUHDGraphics,lenovo,14000000,digikala,,TN,
AMD,ATHLON,Silver 7120U,LPDDR5,8,0,0,AMD,4,Radeon610M,lenovo,18990000,digikala,,TN,
Intel,Corei5,1135G7,DDR4,8,0,0,Nvidia,4,GeForceMX350,lenovo,24780000,digikala,,TN,
Intel,Celeron,N4020,DDR4,4,0,0,Intel,4,UHDGraphics600,lenovo,13150000,digikala,,TN,
Intel,Corei5,1235U,DDR4,16,0,0,Intel,4,IrisXeGraphics,lenovo,26800000,digikala,,TN,
Intel,Celeron,N4120,DDR4,8,0,0,Intel,4,UHDGraphics600,hp,16800000,digikala,,TN,
Intel,Corei3,1215U,DDR4,8,0,0,Intel,4,UHDGraphics,lenovo,15800000,digikala,,TN,
Intel,Corei7,1165G7,DDR4,12,0,0,Nvidia,4,GeForceMX450,lenovo,35480000,digikala,,TN,
Intel,Corei3,1115G4,DDR4,4,0,0,Intel,4,UHDGraphics,lenovo,17700000,digikala,,TN,
Intel,Corei3,1115G4,DDR4,20,0,0,Intel,4,UHDGraphics,asus,20500000,digikala,,TN,
Intel,Corei3,1215U,DDR4,4,0,0,Intel,4,UHDGraphics,lenovo,16350000,digikala,,TN,
Intel,Corei5,1155G7,DDR4,8,0,0,Nvidia,4,GeForceMX350,lenovo,26960000,digikala,,TN,
Intel,Corei7,1165G7,DDR4,12,0,0,Nvidia,4,GeForceMX450GDDR5,lenovo,32000000,digikala,,TN,
Intel,Corei3,1305U,LPDDR5,8,0,0,Intel,4,UHDGraphics,lenovo,16800000,digikala,,TN,
AMD,Ryzen7,5700U,DDR4,8,0,0,AMD,4,RadeonRXVega8,lenovo,26200000,digikala,,TN,
Intel,Corei7,1165G7,DDR4,16,0,0,Nvidia,4,GeForceMX450,lenovo,31440000,digikala,,TN,
Intel,Corei3,1215U,DDR4,12,0,0,Intel,4,UHDGraphics,lenovo,21760000,digikala,,TN,
Intel,Corei7,1165G7,DDR4,12,0,0,Nvidia,4,GeForceMX450GDDR5,lenovo,32000000,digikala,,TN,
Intel,Corei3,I3 1115G4,DDR4,20,512,1024,Intel,4,Intel UHD Graphics,lenovo,19435000,meghdad,1080 * 1920 ,TN,15.6
Intel,Corei7,1165G7,DDR4,8,0,0,Nvidia,4,GeForceMX4502GBGDDR6,lenovo,33640000,digikala,,TN,
Intel,Corei3,I3 1115G4,DDR4,36,512,1024,Intel,4,Intel UHD Graphics,lenovo,20861000,meghdad,1080 * 1920 ,TN,15.6
Intel,Corei3,1215U,DDR4,12,0,0,Intel,4,UHD,lenovo,17150000,digikala,,TN,
Intel,Celeron,N4020,DDR4,4,0,0,Intel,4,UHDGraphics600,lenovo,12320000,digikala,,TN,
Intel,Celeron,Celeron N4020,DDR4,4,256,0,Intel,4,Intel UHD Graphic,lenovo,10600000,meghdad,768 * 1366,TN,15.6
Intel,Corei3,I3 1115G4,DDR4,12,128,1024,Intel,4,Intel UHD Graphics,lenovo,17770000,meghdad,1080 * 1920 ,TN,15.6
Intel,Corei3,1305U,LPDDR5,8,0,0,Intel,4,UHDGraphics,lenovo,18620000,digikala,,TN,
Intel,Corei5,1135G7,DDR4,8,0,0,Nvidia,4,GeForceMX350,lenovo,24200000,digikala,,TN,
Intel,Corei3,1115G4,DDR4,4,0,0,Intel,4,UHDGraphics,lenovo,15700000,digikala,,TN,
AMD,Ryzen3,3250U,DDR4,4,0,0,AMD,4,RadeonVega3,hp,16970000,digikala,,TN,
Intel,Corei3,1115G4,DDR4,4,0,0,Intel,4,Integrated,lenovo,15390000,digikala,,TN,
Intel,Corei5,1235U,DDR4,8,256,0,Intel,4,INTEL,lenovo,23700000,meghdad,1080 * 1920 ,TN,15.6
Intel,Celeron,N4020,DDR4,4,0,0,Intel,4,UHDGraphics,lenovo,12310000,digikala,,TN,
Intel,Corei3,1115G4,DDR4,4,0,0,Intel,4,UHDGraphics,lenovo,17700000,digikala,,TN,
Intel,Corei3,1115G4,DDR4,4,0,0,Nvidia,4,GeForceMX350,lenovo,18200000,digikala,,TN,
Intel,Celeron,Celeron N4020,DDR4,4,512,0,Intel,4,Intel UHD Graphic,lenovo,11600000,meghdad,768 * 1366,TN,15.6
Intel,Corei3,I3 1115G4,DDR4,20,128,1024,Intel,4,Intel UHD Graphics,lenovo,18540000,meghdad,1080 * 1920 ,TN,15.6
Intel,Corei3,1115G4,DDR4,12,0,0,Intel,4,UHDGraphics,lenovo,17200000,digikala,,TN,
Intel,Corei3,1215U,DDR4,12,0,0,Intel,4,UHD,lenovo,16310000,digikala,,TN,
Intel,Corei3,1115G4,DDR4,8,0,0,Intel,4,UHDGraphics,dell,17600000,digikala,,TN,
Intel,Corei5,1155G7,DDR4,8,0,0,Nvidia,4,GeForceMX350,lenovo,26960000,digikala,,TN,
Intel,Corei3,1115G4,DDR4,8,0,0,Intel,4,UHDGraphics,lenovo,16499000,digikala,,TN,
Intel,Corei3,1115G4,DDR4,20,0,0,Intel,4,UHDGraphics,asus,18990000,digikala,,TN,
Intel,Corei7,1165G7,DDR4,8,0,0,Nvidia,4,GeforceMX450,lenovo,32180000,digikala,,TN,
Intel,Corei7,1165G7,DDR4,12,0,0,Nvidia,4,GeForceMX450,lenovo,31000000,digikala,,TN,
Intel,Corei7,1165G7,DDR4,12,0,0,Nvidia,4,GeForceMX450,lenovo,32800000,digikala,,TN,
Intel,Corei5,1235U,DDR4,8,0,0,Intel,4,IntegratedIntelIrisXeGraphics,lenovo,25400000,digikala,,TN,
Intel,Corei3,1115G4,DDR4,16,0,0,Intel,4,UHDGraphics,asus,20000000,digikala,,TN,
AMD,Ryzen3,5300U,DDR4,4,0,0,AMD,4,RadeonRXVega6,lenovo,18000000,digikala,,TN,
Intel,Corei3,1215U,DDR4,12,0,0,Intel,4,UHDGraphics,lenovo,17760000,digikala,,TN,
Intel,Corei5,1155G7,DDR4,16,0,0,Nvidia,4,GeForceMX350,lenovo,27900000,digikala,,TN,
Intel,Corei3,1115G4,DDR4,4,0,0,Intel,4,UHDGraphics,dell,16900000,digikala,,TN,
Intel,Celeron,N4020,DDR4,4,0,0,Intel,4,UHDGraphics600,lenovo,11200000,digikala,,TN,
Intel,Corei7,1165G7,DDR4,12,0,0,Nvidia,4,GeForceMX450,lenovo,31050000,digikala,,TN,
Intel,Corei3,1215U,DDR4,8,0,0,Intel,4,UHDGraphics,lenovo,19520000,digikala,,TN,
Intel,Corei5,1135G7,DDR4,8,0,0,Intel,4,IrisXe,dell,29950000,digikala,,TN,
AMD,ATHLON,3050e,DDR4,4,0,0,AMD,4,RADEONRXVEGA3,lenovo,9900000,digikala,,TN,
Intel,Corei3,1115G4,DDR4,4,0,0,Nvidia,4,GeForceMX450,lenovo,18800000,digikala,,TN,
Intel,Corei3,1215U,DDR4,8,0,0,Intel,4,UHDGraphics,lenovo,16800000,digikala,,TN,
Intel,Corei3,1115G4,DDR4,16,0,0,Intel,4,UHDGraphics,asus,20000000,digikala,,TN,
Intel,Corei3,1215U,DDR4,4,0,0,Intel,4,IntegratedIntelUHDGraphics,lenovo,15400000,digikala,,TN,
AMD,ATHLON,Silver 7120U,LPDDR5,8,0,0,AMD,4,Radeon610M,lenovo,13570000,digikala,,TN,
Intel,Corei3,1115G4,DDR4,8,0,0,Nvidia,4,GeForceMX350,lenovo,19090000,digikala,,TN,
AMD,Ryzen3,7320U,LPDDR5,4,0,0,AMD,4,Radeon610M,lenovo,14800000,digikala,,TN,
Intel,Corei3,1115G4,DDR4,20,0,0,Intel,4,UHDGraphics,lenovo,19370000,digikala,,TN,
AMD,Ryzen3,3250U,DDR4,4,0,0,AMD,4,RadeonGraphics,dell,17900000,digikala,,TN,
Intel,Corei3,1115G4,DDR4,4,0,0,Nvidia,4,GEFORCEMX350,lenovo,19490000,digikala,,TN,
Intel,Corei5,1155G7,DDR4,8,0,0,Nvidia,4,GeForceMX350,lenovo,25600000,digikala,,TN,
Intel,Corei7,1165G7,DDR4,16,0,0,Nvidia,4,GeforceMX450,lenovo,33000000,digikala,,TN,
AMD,Ryzen5,5500U,DDR4,4,0,0,AMD,4,RadeonRXVega7,lenovo,20000000,digikala,,TN,
Intel,Corei3,1115G4,DDR4,12,0,0,Intel,4,UHDGraphics,lenovo,16700000,digikala,,TN,
Intel,Celeron,N4020,DDR4,4,0,0,Intel,4,UHDGraphics,lenovo,11010000,digikala,,TN,
Intel,Corei3,1215U,DDR4,4,0,0,Intel,4,UHD,lenovo,15000000,digikala,,TN,
Intel,Corei3,1115G4,DDR4,4,0,0,Nvidia,4,GeforceMX350GDDR5,lenovo,20989500,digikala,,TN,
Intel,Corei7,1165G7,DDR4,8,0,0,Nvidia,4,GeForceMX450,lenovo,31654000,digikala,,TN,
Intel,Corei3,1305U,LPDDR5,8,0,0,Intel,4,UHDGraphics,lenovo,17280000,digikala,,TN,
AMD,ATHLON,Silver 7120U,LPDDR5,8,0,0,AMD,4,Radeon610M,lenovo,14520000,digikala,,TN,
Intel,Corei3,1115G4,DDR4,8,0,0,Intel,4,UHDGraphics,asus,16490000,digikala,,TN,
Intel,Corei5,1235U,DDR4,8,512,0,Intel,4,INTEL,lenovo,24000000,meghdad,1080 * 1920 ,TN,15.6
